"","Group","type","PB","M0","Fixed Gear","HMS Fleet","LG Mesh","Scallop Dredge","Trap","Other Dredge","Other","Pelagic","SM Mesh","Clam Dredge","M2.Phytoplankton","M2.Bacteria","M2.Microzooplankton","M2.GelZooplankton","M2.LgCopepods","M2.SmCopepods","M2.Micronekton","M2.Illex","M2.Loligo","M2.OtherCephalopods","M2.Macrobenthos","M2.AmLobster","M2.OceanPout","M2.SmPelagics","M2.SmFlatfishes","M2.NShrimp","M2.OtherShrimps","M2.RiverHerring","M2.AtlScallop","M2.OtherPelagics","M2.AtlHerring","M2.Mesopelagics","M2.YTFlounder","M2.Cod","M2.Haddock","M2.AmPlaice","M2.AtlMackerel","M2.AtlHalibut","M2.SummerFlounder","M2.Cusk","M2.OtherDemersals","M2.HMS","M2.OtherSkates","M2.RedHake","M2.Barndoor","M2.Fourspot","M2.SmoothDogfish","M2.Pollock","M2.Goosefish","M2.SilverHake","M2.WhiteHake","M2.SpinyDogfish","M2.Redfish","M2.LittleSkate","M2.SeaBirds","M2.Windowpane","M2.WinterFlounder","M2.WitchFlounder","M2.BlackSeaBass","M2.Butterfish","M2.Sharks","M2.WinterSkate","M2.Pinnipeds","M2.BaleenWhales","M2.Odontocetes","M2.Megabenthos"
"Phytoplankton","Phytoplankton",1,163.14,18.5302395835665,0,0,0,0,0,0,0,0,0,0,0,40.5705316325884,11.3328239768711,0.728318137473561,37.3794630038981,43.490096913892,1.46656161981379,0,0,0,9.01990278103335,0,0,0.0450966390238844,0,0.00243128341047488,0.00385749946965928,0,0.00906460085460485,0,2.29000557088333e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4485377786388e-05,0,0,0,0,0,0.561574942671001
"Bacteria","Bacteria",0,91.25,6.72201391513353,0,0,0,0,0,0,0,0,0,0,0,0,42.576333145279,0.683373568588621,0,0,0,0,0,0,40.181586415116,0.101162429072302,0,0,0,0.0581295885815751,0.0922290080041061,0,0.00549333051391885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829678599711
"Microzooplankton","Microzooplankton",0,72,4.22667445392712,0,0,0,0,0,0,0,0,0,0,0,0,23.5209047406,1.91792235184442,11.4908240226049,30.8436744310235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GelZooplankton","GelZooplankton",0,35,3.07308433065897,0,0,0,0,0,0,0,0,0,0,0,0,0,7.10626384,24.4122533109119,0,0,0,0,0,0,0,5.31808687472158e-05,0.102229595137934,0,0,0,0.0636167627941763,0,0,0.0154546663208215,0,0.000236480281031121,0.000534682220582814,0.0125354233054013,0.000755173771654666,0.000476589789705587,0,0,0,0.00272379089247648,0.00101902778714263,0.00029772390453636,4.05555453648233e-06,0,0,0,0.0109509733903312,8.48754895101545e-07,0.000261825027227197,0.00295957103526103,0.153870253556299,0.00239140568981881,3.17796813253819e-05,0,0,0.00411913787196569,0.000255883267713287,0,0.0336196875255247,0,0,0,0,0,0
"LgCopepods","LgCopepods",0,35,9.16305667427855,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64259163041405,13.9762077,0,5.45235687160184,0.0560239098711122,0.00617709209632672,0.000128200608518504,0.156454402955082,0,2.90975916354604e-08,0.340765684862824,0,0,0,0.127947695072331,0,3.15252188325983e-05,0.0550463694958253,0.00163756770073814,9.28635342584528e-05,2.09336542379039e-05,0.000121858412993292,3.15938638674897e-07,0.00233274794442861,0,0,0,0,0,0.000243325812763628,0.000130121668037895,0,0,0,7.03229958151446e-05,0,0.00015107533796314,7.4358861947279e-06,2.75692859233515e-06,0.000360194814112198,2.78444576847223e-06,5.37841746214973e-05,5.62296070829755e-06,6.92807172504578e-05,3.55971767959234e-07,0,6.06438423342555e-05,1.53845714027603e-05,5.25795932605686e-06,0,0.0178275791551652,0,0
"SmCopepods","SmCopepods",0,30.92,3.22129705922607,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94403066709603,13.8083428653273,4.088,3.77588758916659,0,0,0,0.0356633465320388,0,0,0.04677847265197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micronekton","Micronekton",0,14.25,-2.56831831940588,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156017446597456,0,0,1.6936,0.916106701542594,0.101008220927626,0.00209634487981709,11.584492188226,0,8.38741587082918e-05,0.0638936984685506,4.53226100875868e-05,0.0220741008891133,0.0350229973626679,0.588372725859368,0,0,0.744294103474256,0,0.000302064549558838,0.0111806990264317,0.043058603920978,0.0146160243081935,0.0119286577631647,0.000187774909997997,6.63303062023782e-06,0.00356997396705694,0.00491876805124134,0,0.109259154918356,0.0272172971103124,0,0.000171602117397524,0,0.135707995174742,0.000395790444191715,0.23216645322346,0.0650078166386347,0.0130465574503484,0.0884402100230989,0.000605038772000952,0.000925781751333607,0.00123708325200168,0.000151684183590965,0.000858528220292956,8.20786857037968e-05,0.00211043181042751,0,0.00109975317453561,0.000196575724148543,0.142745470517029,1.60916907673369e-05,0
"Illex","Illex",0,5.72,2.52543026722749,0.00015363754055904,0,0.00509742245707759,0,0,0,0,4.55946944949398e-06,0.000632949693950982,0,0,0,0,0.0442846940659867,0,0,0,0.365402771240106,0.0402886298974108,0.000836158306963935,0,0,0,0,0,0,0,0,0,0.728559788261023,0,0,0,0.147248560635636,0.0831076720856115,0,0,0.00449504810905167,0,0.106990355322492,0.00364225018606331,0.000884837887117413,0.440699314919555,0.0142599264306254,0,0.000795184600924035,0,0.0944582120432597,0.0671366582436428,0.0699630598091618,0.48159691427424,0.0575973795631187,0,0,0.00153744724393312,0,0,0,0,0,0.00252618460605861,0,0.0516736870748247,0.112071108936176,0.268625319868488,0
"Loligo","Loligo",0,5.72,-0.0826884503288646,0.000238592425674347,0,0.00115234126665608,0,0,0,0,0,0.00423906310579806,0,0,0,0,0.0434528838829566,0,0,0,0.358539322086047,0.0395318787598945,0.000820452542048377,0,0,0,0,0,0,0,0,0,1.64853524067925,0,0,0,0.628657960874984,0,0,0.00989202727622157,0.000896755371785094,0.0433176786645254,0,0.00357383691466538,0.000868217761804175,0.670663996622503,0.10862946053043,0,0.000326468058973748,0.000722859966035823,0.632175567128355,0.0616710214000323,0.759383516718968,0.0828905821470759,0.261485004658041,0,0.0109967138756638,0.0015085689982921,0,0,0,0.00179090114817242,0,0.00247873466598671,0,0.0507030876383805,0.109966050030322,0.263579665129327,0
"OtherCephalopods","OtherCephalopods",0,5.72,-22.1137930476218,0.00264458669564555,0,0.079163710237324,0,0,0,0,0,0.0183744434524852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568798873456212,2.10642538327124,0,0,0.506785295220084,1.78500551412627,0,1.9065108726306,1.30446751779912,0.379486626612355,0.348297660717514,0,0,3.34255957259129,0.306548318595055,0,0.587031501985957,0.626932332240179,0.590745176770197,0.347560004412923,0.429131336932048,3.16254212560531,2.77909330661439,1.73284952146504,0.387697564310454,0,0.0112311802672867,3.73127879330581,0.0398681412541457,0.0431455102105914,0,0,0.709618176842239,0,0,0,0
